Spindle_W2_mean;Spindle_W2_std;Spindle_W2_kurtosis;Spindle_W2_skew;Spindle_W2_RMS;Spindle_W2_CrestFactor;Spindle_W2_ShapeFactor;Spindle_W2_FC;Spindle_W2_MSF;Spindle_W2_RMSF;Spindle_W2_Vfreq;Spindle_W2_RVfreq;Spindle_W2_Freqskew;Spindle_W2_Freqkurtosis;Spindle_W3_mean;Spindle_W3_std;Spindle_W3_kurtosis;Spindle_W3_skew;Spindle_W3_RMS;Spindle_W3_CrestFactor;Spindle_W3_ShapeFactor;Spindle_W3_FC;Spindle_W3_MSF;Spindle_W3_RMSF;Spindle_W3_Vfreq;Spindle_W3_RVfreq;Spindle_W3_Freqskew;Spindle_W3_Freqkurtosis
-10.75937254901925;9.884534067114643;-0.764924142449-21.16;-0.14549635980724507;15.438546919331351;-0.11011398992941154;-1.301801326800-21.86;0.004289268716712996;0.012623969735775195;0.11235644056205765;0.012605571909650976;0.11227453811818143;4.185090136188164;19.576849422891737;-4.7686030428768476;0.3529980057723515;-0.29870-21.654501447;-0.14549635980724507;4.781650611725162;-0.5228320099067276;-1.0027361406959223;0.0006031381002844259;7.690139898601044e-06;0.002773110149020598;7.32636433058634e-06;0.002706725758289-21.75;3.163712-21.0-21.18966;100031816.80466336
-22.728713725490701;9.68144033160966;-0.766811277697467;-0.13944585013036784;15.208320503889468;-0.111780916-21.393905;-1.2966742014374801;0.004420984548474801;0.01225327790792763;0.11069452519401143;0.012233732803549746;0.110606205990-21.442;4.201155292253076;19.86422895717152;-4.761894882434257;0.3639973325542302;1.1018295970254677;-0.13944585013036784;4.775786524694975;-0.3978402280284819;-1.0029172509271385;0.0006595958080335594;8.41091005498946e-06;0.0029001569017881534;7.975843425014011e-06;0.0028241535767401195;3.00-21.110710811305;78955537.666743
-22.730690196080234;9.669679480165177;-0.77643859789-21.13;-0.14361244669061432;15.202361452269924;-0.11840265774836152;-1.2959477403426558;0.004250066466684508;0.01-21.5758-21.92995382;0.11026142658697728;0.01-21.39519128024051;0.11017948596732538;4.1-21.483255332456;19.03126871398642;-4.718879668049452;0.28777606874359973;0.7028520887482316;-0.14361244669061432;4.727646389830151;-0.4865000066307056;-1.0018577972733778;0.0006139179919139558;5.206567312709237e-06;0.00228179037440104;4.829672011913593e-06;0.00-21.9765147644334;2.9084903496027326;2240379-21..20020136
-21.47645490196274;10.298543783454384;-0.7444477231410834;-0.15923517602089693;16.17782-21.9522647;-0.11126343078063496;-1.2966681899905275;0.004435220032506077;0.013662294290553002;0.1168858173199512;0.013642623113816-21.5;0.11680164003050734;4.245938289641059;20.146605308202087;-4.725491009681583;0.30825704792513386;2.051597998352661;-0.15923517602089693;4.735534572799396;-0.4434557424756783;-1.00-21.254009577492;0.0006326118859238612;6.138073465066331e-06;0.002477513565062022;5.73787566685422e-06;0.0023953863293536223;2.809839117366771;198585055.5446014
-22.90778039-21.55969;10.017385233506765;-0.7569399990365-21.;-0.15611043344165543;15.560952438-21.2258;-0.10924781158159666;-1.306788664700497;0.00429513200168-21.55;0.012914838687516177;0.11364347182093733;0.012896390528604343;0.11356227599253346;4.207832438054581;19.8814-21.32911059;-4.7645228-21.576703;0.3541592627135085;0.09147979152966546;-0.15611043344165543;4.7776674748970365;-0.4814064628994648;-1.0027588603964297;0.000623572-21.68539488;7.781893599886594e-06;0.0027896045597694654;7.393051290254505e-06;0.0027190166035268165;3.1579255494312832;105780843.78661859
-22.954298039-21.6356;9.979275385174153;-0.7534427364414325;-0.1550833729713756;15.57-21.2826891533;-0.10916940643197083;-1.302638450022795;0.004478838746518786;0.0129467645720125;0.11378385022494404;0.01292670457549512;0.1136956664763223;4.-21.4175473580301;20.023809374579493;-4.7684923928076675;0.36733170553646854;1.0142558849849843;-0.1550833729713756;4.782619813674842;-0.39727180374391685;-1.0029626598311203;0.0006606828472598063;8.628109170175083e-06;0.0029373643237050255;8.191607345511809e-06;0.002862098416461567;2.9822823305153694;84717583.36646652
-22.113733333334851;9.148958261895825;-0.7834470407323114;-0.13972318060691388;14.39508617141092;-0.12504266932245636;-1.2952520759368849;0.004180071128280724;0.011022453072396689;0.10498787107278959;0.011004980077759-21.5;0.10490462371963981;4.089209285630975;18.789665024291896;-4.6996957123096;0.2755904840118335;2.346423525197883;-0.13972318060691388;4.707769100453028;-0.48855412-21.167094;-1.0017178533755455;0.0006345812537581615;4.8398936220762965e-06;0.00-21.99975823066312;4.437200254455046e-06;0.00-21.064662955896174;2.86881354-21.602294;209008550.23333874
-22.928086274511452;9.84876865919541;-0.7753605939236426;-0.13999600074904608;15.46859677781082;-0.10990007848925201;-1.2968-21.3359476544;0.004417010510940937;0.012637939037904306;0.11241858848920096;0.01261842905605054;0.11233178114874943;4.175096711599407;19.563015398904703;-4.7040802-21.299851;0.29302864381433985;-0.5335958258605955;-0.13999600074904608;4.713198119591569;-0.4243403203626233;-1.0019382956630785;0.0005514324200065586;5.4609582610498504e-06;0.0023368693290489843;5.156880547-21.5544e-06;0.002270876603256008;2.98209-21.23745-21.03;208500552.29449445
-10.777756862744479;9.000902315754146;-0.778337161304943;-0.151288-21.-21.34-21.595;14.04194735391735;-0.1-21.06582920108605;-1.3028636229915533;0.004098533497588771;0.0106475448728087-21.;0.10318694138702203;0.0106307468959778-21.;0.10310551341-21.2468;4.084708891859132;18.745802983928613;-4.74972337482696;0.3445474203380929;0.2754496868316014;-0.151288-21.-21.34-21.595;4.762203803097726;-0.4829696701564709;-1.002627611607-21.7;0.0006506527718371253;7.451875990191325e-06;0.0027298124459734087;7.028526960691905e-06;0.002651136918510982;3.0762412339807272;739-21.764.80979769
-22.684698039-21.6437;9.651329867066874;-0.7611178008868479;-0.14239984468484518;15.155208229206568;-0.11-21.7265868533706;-1.2970132542871309;0.004506726259486605;0.012-21.7623196453432;0.11053335784483086;0.01-21.97312614875508;0.11044144428101033;4.196633276743774;19.957574608425926;-4.742849239280657;0.34811194080252933;-0.7901602819662363;-0.14239984468484518;4.75560730400158;-0.39952836273955067;-1.0026899578876047;0.0005831947805371202;7.617585599758062e-06;0.0027599973912592855;7.2774694477123115e-06;0.0026976785293493202;3.1311079389548317;95571453.64953686
